,ds,y
275,2023-10-08,11758
276,2023-10-09,12985
277,2023-10-10,11089
278,2023-10-11,9203
279,2023-10-12,8262
280,2023-10-13,15773
281,2023-10-14,13802
282,2023-10-15,11922
283,2023-10-16,12058
284,2023-10-17,12362
285,2023-10-18,13240
286,2023-10-19,13258
287,2023-10-20,13154
288,2023-10-21,11836
289,2023-10-22,12386
290,2023-10-23,13964
291,2023-10-24,13384
292,2023-10-25,14186
293,2023-10-26,12656
294,2023-10-27,9747
295,2023-10-28,11290
296,2023-10-29,10584
297,2023-10-30,6669
298,2023-10-31,8124
299,2023-11-01,0
300,2023-11-02,0
301,2023-11-03,0
302,2023-11-04,0
303,2023-11-05,12853
304,2023-11-06,13911
305,2023-11-07,7093
306,2023-11-08,11133
307,2023-11-09,8133
308,2023-11-10,7407
309,2023-11-11,13093
310,2023-11-12,9244
311,2023-11-13,11810
312,2023-11-14,5584
313,2023-11-15,8133
314,2023-11-16,9285
315,2023-11-17,10194
316,2023-11-18,8961
317,2023-11-19,11610
318,2023-11-20,11134
319,2023-11-21,7585
320,2023-11-22,6333
321,2023-11-23,7079
322,2023-11-24,8523
323,2023-11-25,5294
324,2023-11-26,8207
325,2023-11-27,9312
326,2023-11-28,7580
327,2023-11-29,7532
328,2023-11-30,7287
329,2023-12-01,0
330,2023-12-02,0
331,2023-12-03,0
332,2023-12-04,0
333,2023-12-05,14365
334,2023-12-06,13673
335,2023-12-07,11760
336,2023-12-08,9285
337,2023-12-09,13812
338,2023-12-10,12239
339,2023-12-11,11999
340,2023-12-12,8659
341,2023-12-13,9804
342,2023-12-14,9905
343,2023-12-15,6882
344,2023-12-16,6470
345,2023-12-17,956
346,2023-12-18,5131
347,2023-12-19,10158
348,2023-12-20,7377
349,2023-12-21,6722
350,2023-12-22,9296
351,2023-12-23,11007
352,2023-12-24,9902
353,2023-12-25,6637
354,2023-12-26,10495
355,2023-12-27,10478
356,2023-12-28,6324
357,2023-12-29,7306
358,2023-12-30,10083
359,2023-12-31,9521
360,2024-01-01,9737
361,2024-01-02,10628
362,2024-01-03,13919
363,2024-01-04,9078
364,2024-01-05,11585
365,2024-01-06,9588
366,2024-01-07,4797
367,2024-01-08,8063
368,2024-01-09,11581
369,2024-01-10,10915
370,2024-01-11,10078
371,2024-01-12,1432
372,2024-01-13,7935
373,2024-01-14,9318
374,2024-01-15,9812
375,2024-01-16,9912
376,2024-01-17,9653
377,2024-01-18,9362
378,2024-01-19,8854
379,2024-01-20,9312
380,2024-01-21,10463
381,2024-01-22,10485
382,2024-01-23,10469
383,2024-01-24,8691
384,2024-01-25,9304
385,2024-01-26,11131
386,2024-01-27,11026
387,2024-01-28,8828
388,2024-01-29,6175
